"dpr","partai"
"http://id.dbpedia.org/resource/Yusron_Ihza_Mahendra","http://id.dbpedia.org/resource/Partai_Bulan_Bintang"
"http://id.dbpedia.org/resource/Nizar_Dahlan","http://id.dbpedia.org/resource/Partai_Bulan_Bintang"
"http://id.dbpedia.org/resource/Adjie_Massaid","http://id.dbpedia.org/resource/Partai_Demokrat"
"http://id.dbpedia.org/resource/Dede_Yusuf","http://id.dbpedia.org/resource/Partai_Demokrat"
"http://id.dbpedia.org/resource/Angelina_Sondakh","http://id.dbpedia.org/resource/Partai_Demokrat"
"http://id.dbpedia.org/resource/Nurul_Qomar","http://id.dbpedia.org/resource/Partai_Demokrat"
"http://id.dbpedia.org/resource/Guruh_Soekarnoputra","http://id.dbpedia.org/resource/Partai_Demokrasi_Indonesia_Perjuangan"
"http://id.dbpedia.org/resource/Taufiq_Kiemas","http://id.dbpedia.org/resource/Partai_Demokrasi_Indonesia_Perjuangan"
"http://id.dbpedia.org/resource/Muhaimin_Iskandar","http://id.dbpedia.org/resource/Partai_Kebangkitan_Bangsa"
"http://id.dbpedia.org/resource/Helmy_Faishal_Zaini","http://id.dbpedia.org/resource/Partai_Kebangkitan_Bangsa"
"http://id.dbpedia.org/resource/Hidayat_Nur_Wahid","http://id.dbpedia.org/resource/Partai_Amanat_Nasional"
"http://id.dbpedia.org/resource/Dede_Yusuf","http://id.dbpedia.org/resource/Partai_Amanat_Nasional"
"http://id.dbpedia.org/resource/Asman_Abnur","http://id.dbpedia.org/resource/Partai_Amanat_Nasional"
"http://id.dbpedia.org/resource/Hidayat_Nur_Wahid","http://id.dbpedia.org/resource/Partai_Keadilan_Sejahtera"
"http://id.dbpedia.org/resource/Suswono","http://id.dbpedia.org/resource/Partai_Keadilan_Sejahtera"
"http://id.dbpedia.org/resource/Anis_Matta","http://id.dbpedia.org/resource/Partai_Keadilan_Sejahtera"
"http://id.dbpedia.org/resource/Irwan_Prayitno","http://id.dbpedia.org/resource/Partai_Keadilan_Sejahtera"
"http://id.dbpedia.org/resource/Suharso_Monoarfa","http://id.dbpedia.org/resource/Partai_Persatuan_Pembangunan"
